id,chapters
DVN_74yUTAw,"[{'title': '1️⃣.In a large saucepan or pot heat olive oil over medium high heat. Add in onion and saute until soft and translucent, about 5-7 minutes. Add in garlic and cook 1 minute more', 'time': datetime.timedelta(seconds=22)}, {'title': '2️⃣.Add in Italian seasoning, basil, salt, pepper, diced tomatoes, and chicken broth. Bring to a boil, reduce heat to medium low, and simmer 5 minutes', 'time': datetime.timedelta(seconds=54)}, {'title': '3️⃣.Stir in gnocchi, spinach, heavy cream and grated parmesan (if using). The residual heat will cook the gnocchi and wilt the spinach', 'time': datetime.timedelta(seconds=87)}, {'title': '4️⃣.Serve hot', 'time': datetime.timedelta(seconds=121)}]"
t8OlmK2L4_U,"[{'title': 'How to clean beets', 'time': datetime.timedelta(seconds=12)}, {'title': 'Preparation to bake', 'time': datetime.timedelta(seconds=19)}, {'title': 'how to prepare beets for oven', 'time': datetime.timedelta(seconds=28)}, {'title': 'how long to roast beets', 'time': datetime.timedelta(seconds=48)}, {'title': 'how to check doneness beets', 'time': datetime.timedelta(seconds=53)}, {'title': 'how to peel cooked beets', 'time': datetime.timedelta(seconds=61)}]"
0c27o3CSQXU,"[{'title': 'Benefits of beets', 'time': datetime.timedelta(0)}, {'title': 'You can use greens for smoothies', 'time': datetime.timedelta(seconds=28)}, {'title': 'Size of a small beet', 'time': datetime.timedelta(seconds=40)}, {'title': 'Trim beet ends', 'time': datetime.timedelta(seconds=55)}, {'title': 'Peel remaining beet skin', 'time': datetime.timedelta(seconds=68)}, {'title': 'A small trimmed beet', 'time': datetime.timedelta(seconds=133)}, {'title': 'Use paper towel to peel after cooked', 'time': datetime.timedelta(seconds=145)}, {'title': 'Comparison of raw and cooked peeled beets', 'time': datetime.timedelta(seconds=189)}]"
YJUYtxArFBg,"[{'title': '0:.Intro', 'time': datetime.timedelta(0)}, {'title': '0:.Preheat skillet', 'time': datetime.timedelta(seconds=78)}, {'title': '0:.Chop vegetables', 'time': datetime.timedelta(seconds=104)}, {'title': '0:.Cook broccoli and cauliflower', 'time': datetime.timedelta(seconds=145)}, {'title': '0:.Add bell pepper', 'time': datetime.timedelta(seconds=200)}, {'title': '0:.Add salt, pepper and garlic powder', 'time': datetime.timedelta(seconds=240)}, {'title': '0:.Remove from pan', 'time': datetime.timedelta(seconds=291)}, {'title': '0:.Scramble egg whites', 'time': datetime.timedelta(seconds=305)}, {'title': '0:.Combine together and taste test', 'time': datetime.timedelta(seconds=324)}, {'title': '0:.Add salsa on the side', 'time': datetime.timedelta(seconds=332)}, {'title': '0:.Conclusion', 'time': datetime.timedelta(seconds=395)}]"
EZiR6zRsgac,"[{'title': '', 'time': datetime.timedelta(0)}, {'title': '', 'time': datetime.timedelta(seconds=62)}, {'title': '', 'time': datetime.timedelta(seconds=176)}, {'title': '', 'time': datetime.timedelta(seconds=279)}]"
gpZSD80j2hc,"[{'title': 'Intro', 'time': datetime.timedelta(0)}, {'title': 'Dry ingredients', 'time': datetime.timedelta(seconds=28)}, {'title': 'Wet ingredients', 'time': datetime.timedelta(seconds=54)}, {'title': 'Combine', 'time': datetime.timedelta(seconds=101)}, {'title': 'Prep', 'time': datetime.timedelta(seconds=121)}, {'title': 'Baking', 'time': datetime.timedelta(seconds=145)}, {'title': 'Frosting', 'time': datetime.timedelta(seconds=161)}, {'title': 'Finished Product!', 'time': datetime.timedelta(seconds=226)}]"
xTwCxPlmJPQ,"[{'title': '1️⃣.In a mixing bowl, stir together ranch dressing, olive oil, worcestershire sauce, rosemary, salt, sugar, lemon juice, white vinegar, and black pepper', 'time': datetime.timedelta(seconds=28)}, {'title': '2️⃣.Add your chicken pieces to the marinade and stir to coat. Let marinate in the fridge for 30-60 minutes', 'time': datetime.timedelta(seconds=79)}, {'title': ""4️⃣.Thread your chicken pieces onto skewers, metal or wooden. If using wooden, be sure to soak them in water during the marinating time so they don't burn on the grill"", 'time': datetime.timedelta(seconds=106)}, {'title': '5️⃣.Grill your chicken on a well oiled grate, about ten minutes, until the chicken is cooked to an internal temperature of 165 degrees F, flipping every few minutes so that all sides receive grill marks. Serve immediately', 'time': datetime.timedelta(seconds=135)}]"
93iL5cR2SEQ,"[{'title': 'Quesadilla Tuna Melt', 'time': datetime.timedelta(seconds=122)}, {'title': 'Flatbread Panini Sandwich', 'time': datetime.timedelta(seconds=241)}, {'title': 'Avocado Toast', 'time': datetime.timedelta(seconds=340)}, {'title': 'Asian Beef Lettuce Wraps', 'time': datetime.timedelta(seconds=450)}, {'title': 'Taco Salad', 'time': datetime.timedelta(seconds=572)}]"
iRUDWZKxox4,"[{'title': 'Intro', 'time': datetime.timedelta(0)}, {'title': 'Meet Tommy!', 'time': datetime.timedelta(seconds=25)}, {'title': 'Website Upgraded', 'time': datetime.timedelta(seconds=655)}, {'title': 'Tuna Reveal', 'time': datetime.timedelta(seconds=757)}, {'title': 'Building tuna salad', 'time': datetime.timedelta(seconds=794)}, {'title': 'First Bite', 'time': datetime.timedelta(seconds=1088)}, {'title': 'Catalina Offshore Products', 'time': datetime.timedelta(seconds=1155)}, {'title': 'Outro', 'time': datetime.timedelta(seconds=1201)}]"
d32MKFO_uRI,"[{'title': 'Intro', 'time': datetime.timedelta(0)}, {'title': 'Serving', 'time': datetime.timedelta(seconds=739)}, {'title': 'First Bite', 'time': datetime.timedelta(seconds=870)}, {'title': 'Outro', 'time': datetime.timedelta(seconds=905)}]"
